id_tujuan,namatujuan,garislintang,garisbujur,createdAt,updatedAt
2,Universitas Dipa Makassar,-5.1402593,119.4833313,2026-01-26 06:15:49.604394+00,
5,RSUP DR. WAHIDIN SUDIROHUSODO,-5.1349013,119.4950138,2026-01-26 21:55:34.731727+00,
6,RSP UNHAS,-5.1340136,119.4939778,2026-01-26 21:57:22.392726+00,
7,Universitas Hasanuddin Fakultas Hukum,-5.1317619,119.4914797,2026-01-26 22:00:00.019153+00,2026-01-27 07:36:46.947782+00
8,Universitas Hasanuddin Fakultas Bisnis dan Ekonomi,-5.1312514,119.4905451,2026-01-26 22:01:54.721587+00,2026-01-27 07:42:24.712041+00
9,Universitas Hasanuddin Fakultas Ilmu Sosial dan Ilmu Politik,-5.1304988,119.4910873,2026-01-26 22:04:27.913028+00,2026-01-27 07:44:01.155685+00
10,Universitas Hasanuddin Fakultas Kedokteran,-5.1296822,119.4876093,2026-01-26 22:07:42.825278+00,2026-01-27 07:43:05.349672+00
11,Universitas Hasanuddin Fakultas Kedokteran Gigi,-5.1289687,119.4872661,2026-01-26 22:08:59.058004+00,2026-01-27 07:46:51.667794+00
12,Universitas Hasanuddin Fakultas Kesehatan Masyarakat,-5.1283299,119.4865753,2026-01-26 22:10:31.854407+00,2026-01-27 07:47:18.452368+00
13,Universitas Hasanuddin Fakultas Peternakan,-5.1295472,119.4860806,2026-01-26 22:13:20.585988+00,2026-01-27 07:46:27.201755+00
14,Universitas Hasanuddin Fakultas Ilmu kelautan dan Perikanan,-5.1293609,119.4839661,2026-01-26 22:15:26.28446+00,2026-01-27 07:47:50.927067+00
15,Politeknik Negeri Ujung Pandang,-5.129183,119.481897,2026-01-26 22:16:50.605102+00,2026-01-27 07:50:56.59503+00
16,Universitas Hasanuddin Fakultas Kehutanan,-5.1304288,119.4833969,2026-01-26 22:20:44.077899+00,2026-01-27 07:48:18.820698+00
17,Universitas Hasanudiin Fakultas Pertanian,-5.1313612,119.4846822,2026-01-26 22:22:50.714283+00,2026-01-27 07:44:32.58282+00
18,Universitas Hasanuddin Fakultas Farmasi,-5.1318794,119.4851308,2026-01-26 22:24:07.271392+00,2026-01-27 07:49:38.978057+00
19,Universitas Hasanuddin Fakultas Matematika dan Ilmu Pengetahuan Alam,-5.1320064,119.4856737,2026-01-26 22:26:14.816171+00,2026-01-27 07:45:36.381476+00
20,Universitas Hasanuddin Fakultas Ilmu Budaya,-5.1328425,119.4905579,2026-01-26 22:29:45.244897+00,2026-01-27 07:43:34.216052+00
21,Universitas Teknologi Akba Makassar,-5.1415331,119.4848854,2026-01-26 22:34:34.961595+00,2026-01-27 07:34:41.903224+00
22,Universitas Islam Makassar,-5.1413927,119.4801262,2026-01-26 22:37:50.434951+00,2026-01-27 07:33:42.871386+00
23,Universitas Hasanuddin Sekolah Pascasarjana,-5.1283561,119.485767,2026-01-27 22:02:59.651977+00,2026-01-28 06:52:57.227856+00
24,Universitas Hasanuddin Fakultas Keperawatan,-5.1334493,119.4860353,2026-01-27 22:09:21.713137+00,2026-01-28 06:52:17.937306+00
25,Universitas Hasanuddin Fakultas Vokasi,-5.1357383,119.4879458,2026-01-27 22:13:54.565901+00,2026-01-28 06:51:58.647939+00